,title,rating,num_ratings,num_reviews,num_awards,language,num_page,cover_type,published_year,genre,author
12,The Goldfinch,3.93,849752,70286,7.0,English,771 pages,Hardcover,"Published October 22nd 2013 by Little, Brown (first published September 23rd 2013)",Fiction,Donna Tartt
13,History of Beauty,3.82,58837,338,,English,432 pages,Paperback,Published November 13th 2004 by Rizzoli (first published October 6th 2004),Art,Umberto Eco
14,On Photography,3.87,45059,1073,1.0,English,224 pages,Paperback,Published 1979 by Penguin Books (first published 1973),Art,Susan Sontag
15,Color and Light: A Guide for the Realist Painter,4.21,12251,186,,English,224 pages,Paperback,Published November 30th 2010 by Andrews McMeel Publishing (first published November 9th 2010),Art,James Gurney
16,The Diary of Frida Kahlo: An Intimate Self-Portrait,3.91,43440,503,,English,296 pages,Hardcover,Published August 9th 2005 by Harry N. Abrams (first published 1995),Art,Frida Kahlo
17,Understanding Comics: The Invisible Art,4.00,117887,2684,4.0,English,215 pages,Paperback,Published January 1st 1993 by William Morrow Paperbacks,Sequential Art,Scott McCloud
18,The War of Art: Winning the Inner Creative Battle,3.99,93426,7409,,English,168 pages,Paperback,Published April 1st 2003 by Warner Books (first published 2002),Nonfiction,Steven Pressfield
19,Art Through the Ages,3.84,40308,202,,English,1150 pages,Hardcover,Published March 17th 2004 by Wadsworth Publishing (first published 1926),Art,Helen Gardner
20,M.C. Escher: The Graphic Work,3.93,67006,192,,English,92 pages,Paperback,Published February 1st 2001 by Taschen (first published 1954),Art,M.C. Escher
21,Leonardo da Vinci,4.19,92948,5290,2.0,English,600 pages,Hardcover,Published October 17th 2017 by Simon & Schuster,Biography,Walter Isaacson
22,Color: A Natural History of the Palette,3.80,67053,765,,English,464 pages,Paperback,Published December 30th 2003 by Random House Trade Paperbacks (first published 2003),Nonfiction,Victoria Finlay
23,Interaction of Color,4.07,9894,198,,English,160 pages,Paperback,Published May 15th 2006 by Yale University Press (first published 1971),Art,Josef Albers
24,Vincent Van Gogh: The Complete Paintings,4.13,47868,189,,English,740 pages,Hardcover,Published August 1st 2001 by Taschen (first published 1988),Art,Rainer Metzger
25,Vincent Van Gogh: The Complete Paintings,4.13,47868,189,,English,740 pages,Hardcover,Published August 1st 2001 by Taschen (first published 1988),Art,Rainer Metzger
26,History of Art,3.81,34561,161,,English,1000 pages,Hardcover,Published September 22nd 1997 by Thames and Hudson (first published 1962),Art,H.W. Janson
27,The Shock of the New,3.74,33443,156,,English,444 pages,Paperback,Published April 1st 2004 by Thames & Hudson (first published November 1st 1980),Art,Robert Hughes
28,Just Kids,4.19,237682,16015,6.0,English,304 pages,Hardcover,Published January 19th 2010 by Ecco,Nonfiction,Patti Smith
29,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,4.11,44569,3424,1.0,English,215 pages,Paperback,Published March 6th 2014 by Workman Publishing Company,Nonfiction,Austin Kleon
30,The Secret Lives of Color,4.13,11035,1161,,English,320 pages,Hardcover,Published October 24th 2017 by Penguin Books (first published October 20th 2016),Nonfiction,Kassia St. Clair
31,What Are You Looking At?: 150 Years of Modern Art in a Nutshell,4.21,8243,543,,English,464 pages,Hardcover,Published September 6th 2012 by Viking,Art,Will Gompertz
32,The Lives of the Artists,3.77,29313,138,,English,616 pages,Paperback,Published July 16th 1998 by Oxford University Press (first published 1550),Art,Giorgio Vasari
33,The Art Forger,3.74,84934,6880,2.0,English,355 pages,Hardcover,Published October 23rd 2012 by Algonquin Books of Chapel Hill,Fiction,Barbara A. Shapiro
34,Figure Drawing for All It's Worth (How to draw and paint),4.04,18570,127,,English,204 pages,Hardcover,Published January 1st 1971 by Viking Adult (first published June 1943),Art,Andrew Loomis
35,The Agony and the Ecstasy,4.08,87416,2216,1.0,English,776 pages,Mass Market Paperback,Published 1961 by Signet (first published 1958),Historical,Irving Stone
36,Leonardo's Notebooks,3.97,45711,240,,English,352 pages,Hardcover,Published August 1st 2005 by Black Dog Leventhal (first published 1519),Art,Leonardo da Vinci
37,The Art Spirit,3.92,21721,230,,English,284 pages,Paperback,Published May 1st 1984 by Westview Press (first published November 30th 1929),Art,Robert Henri
38,Camera Lucida: Reflections on Photography,3.99,63096,843,,English,119 pages,Paperback,Published May 1st 1982 by Hill and Wang (first published February 21st 1980),Art,Roland Barthes
39,The Power of Art,3.91,17261,142,,English,448 pages,Hardcover,Published November 10th 2006 by Ecco (first published January 1st 2006),Art,Simon Schama
40,Michelangelo and the Pope's Ceiling,3.81,35376,782,1.0,English,373 pages,Paperback,Published 2003 by Penguin,History,Ross King
41,"An Illustrated Life: Drawing Inspiration from the Private Sketchbooks of Artists, Illustrators and Designers",3.70,24759,173,,English,266 pages,Paperback,Published December 16th 2008 by HOW Books (first published December 8th 2008),Art,Danny Gregory
42,The Philosophy of Andy Warhol (From A to B and Back Again),3.82,44140,615,,English,272 pages,Paperback,Published April 6th 1977 by Mariner Books (first published 1975),Art,Andy Warhol
43,On Ugliness,3.86,18342,204,,English,456 pages,Hardcover,Published October 30th 2007 by Rizzoli International Publications (first published 2007),Art,Umberto Eco
44,Art Matters,4.29,15750,2231,,English,112 pages,Kindle Edition,Published September 6th 2018 by Headline,Nonfiction,Neil Gaiman
45,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,3.84,14081,363,1.0,English,464 pages,Paperback,Published January 3rd 2007 by Bloomsbury USA (first published January 10th 2006),Art,Ross King
46,The Dot,4.23,30830,1959,2.0,English,32 pages,Hardcover,Published September 15th 2003 by Candlewick Press,Childrens,Peter H. Reynolds
47,Frida: A Biography of Frida Kahlo,4.00,60638,700,,English,528 pages,Paperback,Published October 1st 2002 by Harper Perennial (first published 1983),Biography,Hayden Herrera
48,Faeries,3.89,63746,318,,English,200 pages,Hardcover,Published October 29th 2002 by Abrams (first published 1978),Fantasy,Brian Froud
49,The Lonely City: Adventures in the Art of Being Alone,3.92,23807,2830,2.0,English,336 pages,Hardcover,Published March 1st 2016 by Picador,Nonfiction,Olivia Laing
50,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,3.89,25670,1029,1.0,English,192 pages,Paperback,Published November 1st 2001 by Penguin Group (first published October 1st 2000),History,Ross King
51,"The Work of Art in the Age of Its Technological Reproducibility, and Other Writings on Media",4.07,20871,353,,English,374 pages,Paperback,Published June 3rd 2008 by Belknap Press (first published 1936),Philosophy,Walter Benjamin
52,Griffin & Sabine,4.02,63944,1504,,English,46 pages,Hardcover,Published 2001 by Raincoast Books (first published 1991),Fiction,Nick Bantock
53,Lust for Life,4.24,26551,1688,,English,431 pages,Paperback,Published February 1st 1990 by Arrow (first published 1934),Historical,Irving Stone
54,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),3.99,107041,1239,,,278 pages,Hardcover,Published November 29th 2005 by HC,Nonfiction,Frank Warren
55,Big Magic: Creative Living Beyond Fear,3.95,192276,15318,1.0,English,276 pages,Hardcover,Published September 22nd 2015 by Riverhead Books (first published September 2015),Nonfiction,Elizabeth Gilbert
56,Imaginative Realism: How to Paint What Doesn't Exist,4.09,7951,89,,English,224 pages,Paperback,Published October 20th 2009 by Andrews McMeel Publishing (first published 2009),Art,James Gurney
57,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",3.78,49091,3905,,English,473 pages,Hardcover,Published September 3rd 2009 by Center Street (first published August 20th 2009),History,Robert M. Edsel
58,The Creative Habit: Learn It and Use It for Life,4.06,35374,1226,,English,247 pages,Paperback,Published January 6th 2006 by Simon Schuster (first published 2003),Nonfiction,Twyla Tharp
59,Keys to Drawing,4.05,13909,90,,English,224 pages,Paperback,Published August 15th 1990 by North Light Books (first published August 1st 1985),Art,Bert Dodson
60,In Praise of Shadows,4.06,19187,1876,,English,56 pages,Paperback,Published December 1st 1977 by Leete's Island Books (first published 1933),Nonfiction,Jun'ichirō Tanizaki
61,Art and Illusion: A Study in the Psychology of Pictorial Representation,4.03,5606,61,,English,412 pages,Paperback,Published April 17th 2002 by Phaidon Press (first published 1960),Art,E.H. Gombrich
62,The Natural Way to Draw,3.97,53134,137,,English,240 pages,Paperback,Published February 1st 1990 by Mariner Books (first published 1941),Art,Kimon Nicolaides
63,The Hare With Amber Eyes: A Family's Century of Art and Loss,3.93,52881,3582,5.0,English,368 pages,Hardcover,"Published August 31st 2010 by Farrar, Straus and Giroux",Nonfiction,Edmund de Waal
64,Art and Visual Perception: A Psychology of the Creative Eye,4.08,3616,53,,English,508 pages,Paperback,Published September 12th 1974 by University of California Press (first published 1954),Art,Rudolf Arnheim
65,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,3.87,5345,279,,English,272 pages,Hardcover,Published September 16th 2008 by Palgrave Macmillan (first published July 1st 2008),Art,Don Thompson
66,Andy Goldsworthy: A Collaboration with Nature,3.97,43847,150,,English,120 pages,Hardcover,Published September 1st 1990 by Harry N. Abrams,Art,Andy Goldsworthy
67,Art as Therapy,4.07,3650,364,,English,240 pages,Hardcover,Published October 14th 2013 by Phaidon Press,Art,Alain de Botton
68,The Da Vinci Code,3.90,2219395,51989,9.0,English,489 pages,Paperback,Published March 28th 2006 by Anchor (first published March 18th 2003),Fiction,Dan Brown
69,The Lost Painting,3.83,31351,1002,,English,320 pages,Paperback,Published November 7th 2006 by Random House Trade Paperbacks (first published October 25th 2005),Nonfiction,Jonathan Harr
70,Amphigorey,4.04,53119,468,,English,220 pages,Paperback,Published January 28th 1980 by TarcherPerigee (first published 1972),Art,Edward Gorey
71,Walk Through Walls: A Memoir,4.56,12997,1302,1.0,English,384 pages,Hardcover,Published October 25th 2016 by Crown Archetype,Art,Marina Abramović
72,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,3.97,25594,181,,English,208 pages,Paperback,Published January 1st 2006 by Hachette Books (first published December 21st 2005),Art,Danny Gregory
73,Picture This: How Pictures Work,4.17,4210,426,,English,96 pages,Hardcover,Published July 1st 2000 by Turtleback Books (first published September 1991),Art,Molly Bang
74,Daily Rituals: How Artists Work,3.65,18276,1822,,English,278 pages,Hardcover,Published April 23rd 2013 by Knopf (first published April 18th 2013),Nonfiction,Mason Currey
75,"The Boy, the Mole, the Fox and the Horse",4.57,140384,21101,,English,128 pages,Hardcover,Published October 10th 2019 by Ebury Press,Fiction,Charlie Mackesy
76,Drawing the Head and Hands,4.21,5961,72,,,154 pages,Hardcover,Published January 18th 1956 by Viking Pr,Art,Andrew Loomis
77,An Object of Beauty,3.78,92672,3175,,English,292 pages,Hardcover,Published November 23rd 2010 by Grand Central Publishing,Fiction,Steve Martin
78,The Arrival,4.34,53856,5302,14.0,English,132 pages,Hardcover,Published October 12th 2007 by Lothian Books,Sequential Art,Shaun Tan
79,Art as Experience,3.93,5518,109,,,384 pages,Paperback,Published July 5th 2005 by TarcherPerigee (first published 1934),Art,John Dewey
80,The Elements of Color,4.22,3433,82,,English,96 pages,Hardcover,Published February 14th 1970 by Wiley (first published 1961),Art,Johannes Itten
81,Girl in Hyacinth Blue,3.74,39029,2084,2.0,English,242 pages,Paperback,Published October 1st 2000 by Penguin Books (first published 1999),Historical,Susan Vreeland
82,Dear Theo,4.15,16157,538,,English,480 pages,Paperback,Published September 1st 1995 by Plume Books (first published 1914),Art,Vincent van Gogh
83,Make Good Art,4.29,9444,1161,,English,80 pages,Hardcover,Published May 14th 2013 by William Morrow,Nonfiction,Neil Gaiman
84,"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer",3.97,8677,972,2.0,English,370 pages,Kindle Edition,Published February 7th 2012 by Knopf,Nonfiction,Anne-Marie O'Connor
85,"Wabi-Sabi: For Artists, Designers, Poets & Philosophers",4.01,6334,484,,English,95 pages,Paperback,Published 1994 by Stone Bridge Press,Art,Leonard Koren
86,"Art in Theory, 1900–2000: An Anthology of Changing Ideas",3.97,10224,54,,English,1288 pages,Paperback,Published October 22nd 2002 by Wiley-Blackwell (first published 2002),Art,Charles Harrison
87,The Painted Word,3.84,6465,307,,English,112 pages,Paperback,Published October 5th 1999 by Bantam (first published 1975),Art,Tom Wolfe
88,Good Faeries/Bad Faeries,3.94,63699,195,,English,192 pages,Hardcover,Published October 15th 1998 by Simon & Schuster (first published January 1st 1998),Fantasy,Brian Froud
89,Codex Seraphinianus. Ein Orbis Pictus des Universums der Phantasie.,4.50,3458,374,,German,365 pages,Hardcover,Published 1983 by Prestel (first published 1981),Art,Luigi Serafini
90,Ish,4.38,10989,1190,,English,32 pages,Hardcover,Published August 19th 2004 by Candlewick Press,Childrens,Peter H. Reynolds
91,Dali,4.20,22047,84,,English,780 pages,Capa dura,"Published May 31st 2004 by B.Taschen Verlag,Germany (first published August 1st 1994)",Art,Robert Descharnes
92,Leonardo da Vinci: The Complete Paintings and Drawings,4.29,10283,63,,English,695 pages,Hardcover,Published August 1st 2007 by Taschen (first published August 1st 2003),Art,Frank Zöllner
93,The Birth of Venus,3.81,96852,3465,,English,427 pages,Paperback,Published November 30th 2004 by Random House (first published March 6th 2003),Historical,Sarah Dunant
94,Art Forms in Nature,4.12,7509,99,,English,140 pages,Paperback,Published August 25th 2008 by Prestel-Verlag (first published 1974),Art,Ernst Haeckel
95,Caravaggio: A Life Sacred and Profane,4.13,4110,277,1.0,English,512 pages,Hardcover,Published September 12th 2011 by Allen Lane,Art,Andrew Graham-Dixon
96,The Animator's Survival Kit,4.39,7302,155,,English,342 pages,Paperback,Published 2001 by Faber & Faber,Art,Richard Williams
97,About Looking,4.07,7775,145,,English,224 pages,Paperback,Published 1992 by Vintage,Art,John Berger
98,Just My Type: A Book about Fonts,3.93,52823,1450,,English,384 pages,Hardcover,Published September 1st 2011 by Gotham Books (first published October 21st 2010),Nonfiction,Simon Garfield
99,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",4.34,8820,361,,English,264 pages,Paperback,Published September 5th 2006 by William Morrow Paperbacks,Sequential Art,Scott McCloud
100,"Ninth Street Women: Lee Krasner, Elaine de Kooning, Grace Hartigan, Joan Mitchell, and Helen Frankenthaler: Five Painters and the Movement That Changed Modern Art",4.53,2004,333,,,944 pages,Hardcover,"Published September 25th 2018 by Little, Brown and Company",Art,Mary Gabriel
101,The Gashlycrumb Tinies,4.10,72041,1052,,English,32 pages,Hardcover,Published November 5th 1998 by Bloomsbury (first published 1963),Humor,Edward Gorey
102,Provenance: How a Con Man and a Forger Rewrote the History of Modern Art,3.91,6273,530,2.0,English,327 pages,Hardcover,Published July 9th 2009 by The Penguin Press,Nonfiction,Laney Salisbury
103,Radiant Child: The Story of Young Artist Jean-Michel Basquiat,3.94,5376,968,3.0,English,40 pages,Hardcover,"Published October 25th 2016 by Little, Brown Books for Young Readers",Childrens,Javaka Steptoe
104,The Principles of Uncertainty,4.05,9570,828,,English,327 pages,Hardcover,Published November 1st 2007 by Penguin Press (first published October 18th 2007),Art,Maira Kalman
105,The 20th Century Art Book,3.98,12566,28,,English,512 pages,Paperback,Published May 1st 2007 by Phaidon Press (first published 1996),Art,Phaidon Press
106,Frida Kahlo: 1907-1954 Pain and Passion,4.20,12430,144,,English,96 pages,Paperback,Published August 1st 1999 by Taschen (first published 1993),Art,Andrea Kettenmann
107,Perspective Made Easy,4.26,1766,87,,,224 pages,Paperback,Published January 19th 1999 by Dover Publications (first published 1939),Art,Ernest Norling
108,The Last Painting of Sara de Vos,3.87,28166,2847,4.0,English,304 pages,Hardcover,"Published April 5th 2016 by Sarah Crichton Books/Farrar, Straus and Giroux",Historical,Dominic Smith
109,Anatomy for the Artist,4.02,23764,62,,English,256 pages,Hardcover,Published October 1st 2001 by Dorling Kindersley (first published 2001),Art,Sarah Simblet
110,The Passion of Artemisia,3.90,18405,1036,1.0,English,315 pages,Paperback,Published January 2003 by Penguin Books (first published November 8th 2001),Historical,Susan Vreeland
111,Alla Prima: Everything I Know about Painting,4.32,2144,70,,English,193 pages,Hardcover,Published January 1st 1999 by Stove Prairie Press (first published January 1998),Art,Richard Schmid
112,Sabine's Notebook,4.19,10622,447,1.0,English,48 pages,Hardcover,Published September 1st 1992 by Chronicle Books (first published 1992),Fiction,Nick Bantock
113,Design as Art,4.05,3537,221,,English,224 pages,Paperback,Published September 25th 2008 by Penguin Classics (first published January 1st 1966),Design,Bruno Munari
114,Art Before Breakfast: A Zillion Ways to be More Creative No Matter How Busy You Are,4.01,2133,277,,English,160 pages,Paperback,Published February 17th 2015 by Chronicle Books,Art,Danny Gregory
115,Salvador Dalí: 1904-1989,4.18,2308,68,,English,96 pages,Hardcover,Published April 15th 2001 by Marboro Books (first published 1992),Art,Gilles Néret
116,Vincent and Theo: The Van Gogh Brothers,3.98,8201,1332,4.0,English,465 pages,Kindle Edition,Published April 18th 2017 by Henry Holt and Co.,Nonfiction,Deborah Heiligman
117,Funny Weather: Art in an Emergency,4.04,3416,424,,English,272 pages,Hardcover,Published May 12th 2020 by W. W. Norton & Company (first published April 14th 2020),Nonfiction,Olivia Laing
118,The Secret Art of Dr. Seuss,4.06,10990,130,,English,95 pages,Hardcover,Published October 3rd 1995 by Random House,Art,Dr. Seuss
119,I'll Give You the Sun,4.16,314826,29190,10.0,English,371 pages,Hardcover,Published September 16th 2014 by Dial Books,Young Adult,Jandy Nelson
120,Keep Going: 10 Ways to Stay Creative in Good Times and Bad,4.29,11575,1323,,,224 pages,Paperback,Published April 2nd 2019 by Workman Publishing Company,Nonfiction,Austin Kleon
121,What It Is,4.14,20569,656,2.0,English,210 pages,Hardcover,Published May 13th 2008 by Drawn and Quarterly,Sequential Art,Lynda Barry
122,The Noisy Paint Box,4.17,4176,680,6.0,English,32 pages,Hardcover,Published February 11th 2014 by Alfred A. Knopf (first published January 31st 2014),Childrens,Barb Rosenstock
123,Humans of New York,4.49,17505,1561,,English,304 pages,Hardcover,Published October 15th 2013 by St. Martin's Press,Nonfiction,Brandon Stanton
124,The Practice and Science of Drawing,4.08,4845,48,,,296 pages,Paperback,Published June 1st 1972 by Dover Publications (first published 1913),Art,Harold Speed
125,The Illusion of Life: Disney Animation,4.36,4705,107,,,576 pages,Hardcover,Published October 19th 1995 by Disney Editions (first published 1981),Art,Frank Thomas
126,The Design of Everyday Things,4.16,38678,2807,,English,240 pages,Paperback,Published September 19th 2002 by Basic Books (first published 1988),Design,Donald A. Norman
127,Anatomy for the Artist,4.08,37423,51,,English,342 pages,Spiral-bound,Published August 25th 2006 by Sterling (first published 1953),Art,Jenő Barcsay
128,"The Age of Insight: The Quest to Understand the Unconscious in Art, Mind, and Brain from Vienna 1900 to the Present",4.21,1567,161,,English,656 pages,Hardcover,Published March 27th 2012 by Random House,Art,Eric R. Kandel
129,The Magic Mirror of M.C. Escher,4.15,14533,45,,English,116 pages,Hardcover,Published February 26th 2007 by Taschen (first published January 1st 1976),Art,Bruno Ernst
130,History of Modern Art: Painting Sculpture Architecture Photography,3.99,8307,42,,English,832 pages,Paperback,Published August 29th 2003 by Prentice Hall (first published 1968),Art,H. Harvard Arnason
131,Regarding the Pain of Others,4.08,14740,1133,2.0,English,117 pages,Paperback,Published August 26th 2004 by Penguin (first published January 7th 2003),Nonfiction,Susan Sontag
132,"Drawing Lessons from the Great Masters: 100 Great Drawings Analyzed, Figure Drawing Fundamentals Defined",4.07,8664,40,,,272 pages,Paperback,Published August 1st 1989 by Watson-Guptill (first published June 1964),Art,Robert Beverly Hale
133,The Lady and the Unicorn,3.70,44126,2233,,English,250 pages,Paperback,Published December 1st 2004 by Penguin Books (first published 2003),Historical,Tracy Chevalier
134,The Day the Crayons Quit,4.42,52223,5183,13.0,English,30 pages,Hardcover,Published June 27th 2013 by Philomel Books,Childrens,Drew Daywalt
135,The Rape of Europa: The Fate of Europe's Treasures in the Third Reich and the Second World War,3.92,7427,236,1.0,,498 pages,Paperback,Published December 22nd 1995 by Vintage (first published April 12th 1994),History,Lynn H. Nicholas
136,Against Interpretation and Other Essays,4.13,7790,449,1.0,English,312 pages,Paperback,Published August 25th 2001 by Picador (first published 1966),Writing,Susan Sontag
137,What Is Art?,3.73,2786,309,,English,252 pages,Hardcover,Published February 1st 2000 by Replica Books (first published 1897),Philosophy,Leo Tolstoy
138,Figure Drawing: Design and Invention,4.34,1601,58,,English,240 pages,Hardcover,Published August 31st 2009 by M. Hampton,Art,Michael Hampton
139,Maybe Something Beautiful: How Art Transformed a Neighborhood,4.27,2827,562,5.0,English,40 pages,Hardcover,Published April 12th 2016 by Houghton Mifflin Harcourt,Childrens,F. Isabel Campoy
140,Sacré Bleu,3.79,32497,3704,1.0,English,421 pages,Kindle Edition,Published April 3rd 2012 by William Morrow,Fiction,Christopher Moore
141,"Bridgman's Complete Guide to Drawing From Life: Over 1,000 Illustrations",4.08,5428,35,,English,352 pages,Paperback,Published June 30th 2001 by Sterling (first published February 1971),Art,George B. Bridgman
142,"The Forger's Spell: A True Story of Vermeer, Nazis, and the Greatest Art Hoax of the Twentieth Century",3.86,4397,440,,English,349 pages,Hardcover,Published June 24th 2008 by Harper,Nonfiction,Edward Dolnick
143,Priceless: How I Went Undercover to Rescue the World's Stolen Treasures,3.82,9575,797,,English,324 pages,Hardcover,Published June 1st 2010 by Crown,Nonfiction,Robert K. Wittman
144,Nothing If Not Critical: Selected Essays on Art and Artists,4.03,1083,23,,English,448 pages,Paperback,Published February 1st 1992 by Penguin Books (first published April 1st 1990),Art,Robert Hughes
145,Creative Illustration,4.38,2091,39,,English,300 pages,Hardcover,Published October 9th 2012 by Titan Books (first published 1947),Art,Andrew Loomis
146,Edvard Munch: 1863-1944,4.14,11263,36,,English,96 pages,Paperback,Published August 2011 by Taschen (first published January 1st 1990),Art,Ulrich Bischoff
147,A Piece of the World,3.86,62952,5769,2.0,English,352 pages,ebook,Published February 21st 2017 by William Morrow,Historical,Christina Baker Kline
148,Gnomes,4.05,33760,431,,English,212 pages,Hardcover,Published May 1st 1977 by Harry N. Abrams (first published 1976),Fantasy,Wil Huygen
149,The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft,3.69,6615,654,,English,272 pages,Hardcover,Published February 24th 2009 by Smithsonian (first published 2009),Nonfiction,Ulrich Boser
150,A Splash of Red: The Life and Art of Horace Pippin,3.87,5173,737,5.0,English,34 pages,Hardcover,Published January 8th 2013 by Alfred A. Knopf Books for Young Readers,Childrens,Jen Bryant
151,The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft,3.69,6615,654,,English,272 pages,Hardcover,Published February 24th 2009 by Smithsonian (first published 2009),Nonfiction,Ulrich Boser
152,The Lord of the Rings Sketchbook,4.32,12497,142,,English,192 pages,Hardcover,Published October 19th 2005 by Mariner Books (first published January 1st 2005),Art,Alan Lee
153,The Picture of Dorian Gray,4.11,1320552,53194,,English,272 pages,Paperback,Published June 1st 2004 by Random House: Modern Library (first published June 1890),Classics,Oscar Wilde
154,Broad Strokes: 15 Women Who Made Art and Made History (in That Order),4.28,1577,259,,,192 pages,Hardcover,Published March 7th 2017 by Chronicle Books,Art,Bridget Quinn
155,The Swan Thieves,3.57,33556,4512,,English,565 pages,Hardcover,Published January 21st 2010 by Sphere (first published January 12th 2010),Fiction,Elizabeth Kostova
156,The Singing Bones,4.16,2072,426,1.0,English,208 pages,Hardcover,Published September 1st 2016 by Walker Books Ltd (first published October 1st 2015),Art,Shaun Tan
157,The Story of Painting,3.97,4198,40,,English,736 pages,Hardcover,Published September 20th 2000 by Non Basic Stock Line (first published March 15th 1994),Art,Wendy Beckett
158,Atlas of Human Anatomy for the Artist,4.08,6204,42,,,288 pages,Paperback,"Published February 18th 1982 by Oxford University Press, USA (first published 1951)",Art,Stephen Rogers Peck
159,The Golden Mean,4.17,9439,399,,English,46 pages,Hardcover,Published August 1st 1993 by Chronicle Books,Fiction,Nick Bantock
160,Framed Ink: Drawing and Composition for Visual Storytellers,4.33,2641,90,,English,128 pages,Paperback,Published August 31st 2010 by Design Studio Press (first published July 1st 2010),Art,Marcos Mateu-Mestre
161,"Art, Inc.: The Essential Guide for Building Your Career as an Artist",4.01,1790,165,,English,184 pages,Paperback,Published August 12th 2014 by Chronicle Books,Art,Lisa Congdon
162,How to Draw: Drawing and Sketching Objects and Environments from Your Imagination,4.57,927,36,,English,208 pages,Paperback,Published November 15th 2013 by Design Studio Press (first published December 15th 2012),Art,Scott Robertson
163,The Poetics of Space,4.19,9319,516,,English,282 pages,Paperback,Published 1994 by Beacon (first published 1957),Philosophy,Gaston Bachelard
164,Chasing Vermeer,3.73,29731,2431,5.0,English,254 pages,Hardcover,Published June 1st 2004 by Scholastic Press,Mystery,Blue Balliett
165,The Annotated Mona Lisa: A Crash Course in Art History from Prehistoric to Post-Modern,4.05,4378,77,,English,198 pages,Paperback,Published June 1st 1992 by Andrews McMeel Publishing,Art,Carol Strickland
166,"The Yellow House: Van Gogh, Gauguin, and Nine Turbulent Weeks in Arles",3.96,6241,233,,English,339 pages,Hardcover,Published November 1st 2006 by Little Brown and Company (first published April 6th 2006),Art,Martin Gayford
167,The Photo Book,3.94,9277,74,,English,512 pages,Hardcover,Published February 10th 1997 by Phaidon Press,Art,Phaidon Press
168,The Art of Howl's Moving Castle,4.53,3293,119,,English,256 pages,Hardcover,Published July 5th 2005 by VIZ Media LLC (first published November 2004),Art,Hayao Miyazaki
169,ARh+,4.01,6762,51,,English,96 pages,Paperback,Published May 20th 1993 by Taschen (first published 1981),Art,H.R. Giger
170,Art & Max,4.06,7115,638,1.0,English,40 pages,Hardcover,Published October 4th 2010 by Clarion Books,Childrens,David Wiesner
171,Drawing the Head and Figure,4.02,10241,51,,,128 pages,Paperback,Published January 15th 1983 by TarcherPerigee (first published December 1st 1962),Art,Jack Hamm
172,Playing to the Gallery,4.05,2794,258,,English,135 pages,Hardcover,Published 2014 by Penguin,Art,Grayson Perry
173,Zen of Seeing: Seeing/Drawing as Meditation,3.96,19347,91,,,160 pages,Paperback,Published September 12th 1973 by Vintage (first published January 1st 1973),Art,Frederick Franck
